Catalog Number,Title,Composer,Count,Bible Verse Reference,General Liturgical Season,Narrative Lectionary Weeks,Themes / Topics,Parts,Last Performed,Recording Link
481,Rain Down,Cortez,21,Psalm 68:9; Isaiah 45:8,General,,Blessing,,,
482,"Ready, Lord",Avery/Marsh,23,1 Samuel 3:9–10; Isaiah 6:8,General,NL311 | NL406,Availability,,,
483,Rejoice and Be Glad,Carol/Track,20,Matthew 5:12,Christmas,NL123,Reward,,,
484,Rejoice and Be Glad,Govenor,24,Matthew 5:12,Easter,NL123,Reward,,2018-04-12,
485,Rejoice and be Merry,Means,38,Luke 2:10,Christmas,NL117 | NL217 | NL317 | NL417,Christmas Joy,,,
486,Rejoice Ye Pure in Heart,Messiter,23,Philippians 4:4,General,,Purity,,,
487,Remember Me,Althouse,24,Luke 22:19,General,NL337,Communion,,,
489,Ride On King Jesus,Shackley,.,Matthew 21:1–11,Palm Sunday,NL136,Spiritual,,,
490,Ride On Ride On in Majesty,Nevin,.,Matthew 21:1–11,General,NL136,Passion,,2025-04-19,
491,Ring Ye Joy Bells,Durocher,18,Psalm 98:4–6,Christmas,,Celebration,,,
492,"Ring, Bells of Christmas!",Price/Besig,28,Luke 2:13–14,Christmas,NL117 | NL217 | NL317 | NL417,Proclamation,,,
493,"Rise Up, Shepherd, and Follow",Christiansen,21,Matthew 2:1–2; Luke 2:8,Christmas,NL118 | NL120 | NL218 | NL318 | NL418,Response,,,
494,"Rise, My Soul",Butler,28,Colossians 3:1,General,,Sanctification,,,
496,Risen Today,Davidica,.,Matthew 28:6,General,NL139,Resurrection,,,
497,Round the Lord in Glory Seated,Skeat,27,Isaiah 6:3; Rev 4:8,Trinity,NL311,Adoration,,,
498,Sanctus,Schubert,.,Isaiah 6:3; Rev 4:8,General,NL311,Holy,,,
499,"Savior, O Hear Us",Gluck,24,Psalm 4:1; Psalm 55:1,General,,Petition,,,
500,Seek and Ye Shall Find,McCormick,26,Matthew 7:7,General,NL125,Persistence,,,
501,Seek and You Will Find,Sleeth,5,Matthew 7:7,General,NL125,Seek God,,,
502,Send Forth Thy Light,Balakirev,14,Psalm 43:3,General,,Guidance,,2026-03-07,
503,Send forth Thy Spirit,Schuetky,29,Psalm 104:30,General,,Holy Spirit,,,
504,Set Down Servant,Shaw,26,Matthew 11:28–30,General,,Rest,,,
506,Shadrack,Macginsey,20,Daniel 3:1–30,General,NL413,Courage,,,
507,Shepherd's Carol,Billings,31,Luke 2:8–20,Christmas,NL118 | NL218 | NL318 | NL418,Nativity,,,
508,Shepherds' Christmas Song,Reimann,19,Luke 2:8–20,Christmas,NL118 | NL218 | NL318 | NL418,Shepherds,,,
509,Shepherds of Souls,Larson,23,Ezekiel 34:11–16,General,,Guidance,,,
510,Shepherds On This Hill,Hawkes,16,Luke 2:8,Christmas,NL118 | NL218 | NL318 | NL418,Shepherds,,,
511,Shepherds Rejoice,Williams,27,Luke 2:10,Christmas,NL117 | NL217 | NL317 | NL417,Good News,,,
512,Shout for Joy,Ehret,23,Psalm 100:1,Christmas,,Enthusiasm,,,
513,Shout the Glad Tidings,Handel,25,Psalm 98:1,Christmas,,Proclamation,,,
514,Lord I Want To Be A Christian,Laster,20,Romans 12:2; 2 Cor 5:17,General,,Transformation,,2014-03-23,
515,Simple Gifts,Stone,27,Matthew 18:3–4,General,NL130,Simplicity,,,
516,Sine Nomine,Williams,45,Hebrews 12:1,General,,Remembrance,,,
517,Sing a Song of Praise,Mercer,26,Psalm 147:1,General,,Gratitude,,,
518,Sing and Rejoice,James,24,Psalm 95:1,General,,Rejoicing,,,
519,Sing and Rejoice,Thygerson,25,Psalm 95:1,Christmas,,Rejoicing,,,
520,Sing Joyfully,Marsh,25,Psalm 81:1,General,,Musical Worship,,,
521,Sing Praise to God,Curry,26,Psalm 147:1,General,,Gratitude,,,
522,Shine Your Light,Gilpin,30,Matthew 5:14,Epiphany,NL123,Witness,,2026-11-22,
523,Sing to the Lord of Harvest,Wilan,.,Psalm 65:9–13,Thanksgiving,,Abundance,,,
524,Sing Ye Noel and Alleluia,North,9,Luke 2:10–14,Christmas,NL117 | NL217 | NL317 | NL417,Celebration,,,
525,"Sing, Be Joyful, Christ is Born!",d'Aquin,26,Luke 2:11,Christmas,NL117 | NL217 | NL317 | NL417,Savior’s Birth,,,
526,"Sing, O Sing This Blessed Morn",Marsh,18,Luke 2:11,Christmas,NL117 | NL217 | NL317 | NL417,Nativity,,,
528,The Singing of Praise,Mansfield,24,Psalm 147:1,General,,Adoration,,,
529,Singing on the Mountain,Gardner,20,Isaiah 52:7,General,,Proclamation,,,
530,"Sleepers, Wake!",Bach,27,Matthew 25:1–13,Christmas,NL134,Vigilance,,,
531,So Long Ago on Christmas Day,Hopson,28,Luke 2:1–7,Christmas,NL117 | NL217 | NL317 | NL417,History,,,
532,So Quietly He Came,Dexter,28,Luke 2:7,Christmas,NL117 | NL217 | NL317 | NL417,Humility,,,
533,Softly and Tenderly,Martin,25,Matthew 11:28,General,,Invitation,,2017-05-14,
534,Some Children See Him,Hutson,19,Matthew 19:14,Christmas,,Inclusion,,,
535,Soon and Very Soon,Schrader,18,Revelation 22:20,General,,Hope,,,
536,Sound The Trumpet,Peterson,24,1 Cor 15:52,Easter,NL245,Resurrection,,,
537,"Speak Peace, O Lord",Morgan,28,Psalm 85:8,General,,Serenity,,,
538,Spirit Medley,Ballinger,17,Acts 2:1–4,General,NL146 | NL246 | NL346 | NL446,Holy Spirit,,,
539,Spirit of Faith Medley,Harris,24,1 Cor 12:3,General,NL246,Belief,,,
540,The Star Carol,Huston,24,Matthew 2:1–10,Christmas,NL120,Star of Bethlehem,,,
541,Such is the Love of God,Williams,23,1 John 4:9–10,General,,Atonement,,,
542,Sunrise On Easter Morning,Bach/Olds,29,Matthew 28:1,Easter,NL139,Resurrection,,,
543,Surely Goodness and Mercy,Peterson,25,Psalm 23:6,General,,Guidance,,,
544,Surely He Hath Borne Our Griefs,Graun,28,Isaiah 53:4,Lent,,Suffering Servant,,,
545,Surely God is in This Place,Priest,27,Genesis 28:16–17,General,NL403,Sacred Space,,,
546,Sweet Mary Rocks Her Infant,Ehert,25,Luke 2:19,Christmas,NL118 | NL218 | NL318 | NL418,Motherhood,,,
547,"Swing Low, All Night, All Day",Thygerson,22,2 Kings 2:11; Psalm 91:11,General,,Deliverance,,,
548,Te Ensalzare Senor,Bell,.,Psalm 30:1,General,,Exaltation,,,
549,"Tell Us, Shepherd Maids",Caldwell,59,Luke 2:8–20,Christmas,NL118 | NL218 | NL318 | NL418,Proclamation,,,
550,"Tender Lord, Precious Lord",Wagner,25,Psalm 145:9,General,,Kindness,,,
551,Thank You For the Valleys,Berry,31,Psalm 23:4,Thanksgiving,,Perseverance,,,
552,Thanks Be to God,O'Reilly,30,1 Cor 15:57,Thanksgiving,NL245,Victory,,,
553,Thanks Be to God,Green,5,1 Cor 15:57,Thanksgiving,NL245,Victory,,,
554,Thanksgiving!,Beck,23,Psalm 100,Thanksgiving,,Corporate Gratitude,,,
555,Thanksong,Nygard,7,Psalm 111,Thanksgiving,,Remembrance,,,
556,The Angels' Song,Donnelly,6,Luke 2:13–14,Christmas,NL117 | NL217 | NL317 | NL417,Proclamation,,,
557,The Apostles' Creed,Genuchi,26,1 Cor 15:3–4; 1 Tim 2:5,General,NL245,Doctrine,,,
558,The Beatitudes,Evans,.,Matthew 5:3–12,All Saints,NL123,Blessedness,,2019-11-10,
559,The Birthday of a King,Neidlinger,4,Luke 2:11,Christmas,NL117 | NL217 | NL317 | NL417,Kingship,,,
560,The Christmas Candle,Bitgood,30,John 1:5; Matthew 5:14,Christmas,NL123 | NL416,Light,,,
562,The Church Arise,Walter,22,Matthew 16:18,General,,Empowerment,,,
563,"The Church, O Lord, Is Thine",Johnson,17,Acts 20:28,Reformation,,Possession,,,
564,The Coventry Carol,Davis,35,Matthew 2:16–18,Christmas,NL120,Lament,,,
565,The Entry Into Jerusalem,Thompson,27,Matthew 21:1–11,Palm Sunday,NL136,Palm Sunday,,,
566,The First Song of Isaiah,White,20,Isaiah 12:2–6,General,,Salvation,,,
567,The Gift of Jesus Christ,Curry,22,John 3:16,Christmas,NL423,God’s Love,,,
568,The Heavens are Telling,Beethoven,27,Psalm 19:1,General,,Creation,,,
569,The Heavens are Declaring,Beethoven,22,Psalm 19:1,General,,Creation,,,
570,The Holy City,Weatherly/Adams,31,Rev 21:2,Lent/Easter,,Hope,,,
571,The Journey To Bethlehem,Wolf,30,Luke 2:4–5,Christmas,NL117 | NL217 | NL317 | NL417,Obedience,,,
572,The Joy of Christmas,Thompson,28,Luke 2:10,Christmas,NL117 | NL217 | NL317 | NL417,Tidings,,,
573,The Lamb,Coleman,5,John 1:29; Rev 5:6,Lent/Easter,NL419,Innocence,,2022-04-03,
574,The Lord is My Light,Allitsen,27,Psalm 27:1,General,,Guidance,,,
575,The Lord is My Strength,Rogers,17,Psalm 28:7,General,,Shield,,,
576,The Lords Prayer,Lindsay,12,Matthew 6:9–13,General,NL124,Petition,,,
577,The Lord's Prayer,Malotte,48,Matthew 6:9–13,General,NL124,Petition,,,
578,The Lord's Prayer,Gates,28,Matthew 6:9–13,General,NL124,Petition,,,
579,The Love Behind The Cross,Rahtjen,29,Romans 5:8,Lent/Easter,NL144,Passion,,,
582,The Old Hundredth Psalm Tune,Williams,24,Psalm 100,General,,Doxology,,,
583,The One Hundredth Psalm,Mueller,25,Psalm 100,General,,Gratitude,,,
584,The Palms,Faure,24,John 12:12–13,Palm Sunday,,Hosanna,,,
585,The Praise Carol,Marryott,30,Psalm 148,Christmas,,Universal Worship,,,
586,The Publican,DeWater/Starke,17,Luke 18:9–14,General,,Humility,,,
587,The Sacred Feast,Lovelace,5,Matthew 26:26–29,Communion,NL137,Last Supper,,2016-02-07,
588,The Seven Last Words of Christ,.,.,Luke 23:34–46; John 19,Easter,NL338 | NL435 | NL436 | NL437 | NL438,Passion,,,
589,The Song of the Angels,Christiansen,29,Luke 2:13–14,Christmas,NL117 | NL217 | NL317 | NL417,Proclamation,,,
590,The Souls of the Righteous,Noble,27,Wisdom 3:1–8,General,,Peace,,,
591,The Spring of All My Joys,James,23,Psalm 87:7,General,,Spiritual Source,,,
592,The Stranger of Galilee,Morris,10,Matthew 14:22–33,General,NL127,Miracles,,,
593,The Twenty-Third Psalm,Poteat,24,Psalm 23,General,,Shepherd,,,
594,The Untroubled Heart,Butler,3,John 14:1,General,,Peace,,,
595,There is a Balm In Gilead,Kemmer,22,Jeremiah 8:22,General,,Healing,,,
596,There Is Room In My Heart for Thee,Gilpin,34,Luke 2:7,Christmas,NL117 | NL217 | NL317 | NL417,Hospitality,,2022-01-02,
597,There Shall A Star Come Out of Jacob,Mendelssohn,25,Numbers 24:17,Advent,,Prophecy,,,
598,There Was Darkness Over the Earth,Willis,29,Matthew 27:45,Lent,NL138,Passion,,,
599,There's A Cross for Me,Wagner,22,Mark 8:34,Lent,NL229,Discipleship,,,
601,There's A Song in the Air,Speaks,29,Luke 2:13,Christmas,NL117 | NL217 | NL317 | NL417,Nativity,,,
602,They That Wait Upon the Lord,Purifoy,23,Isaiah 40:31,Advent,NL214,Renewal,,2023-12-10,
603,Think on These Things,Peterson,24,Philippians 4:8–9,General,,Purity,,,
604,Thirty Pieces of Silver,Beall/Carter,26,Matthew 26:15,Lent,NL137,Betrayal,,2018-03-18,
605,This Do in Remembrance of Me,Hunnicutt,22,Luke 22:19,Communion,NL337,Last Supper,,,
606,This Lonesome Valley,Price/Besig,25,Matthew 4:1–11,Lent,NL122,Temptation,,2026-01-17,
607,Thou Shalt Know Him When He Comes,Larkin,24,Matthew 24:30,Advent,,Second Coming,,2025-12-21,
608,"Thou, By Heavenly Hosts Adored",Johnson,18,Revelation 5:11,General,,Universal Praise,,,
609,Shout the Glad Tidings,Handel,18,Psalm 98:1,Christmas,,Proclamation,,,
610,Thy Will Be Done,Eilers,24,Matthew 6:10; Luke 22:42,General,NL124 | NL337,Submission,,,
611,The Time for Singing Has Come,Sleeth,24,Song of Solomon 2:12,General,,Renewal,,,
613,To Thee We Sing,Tkach,16,Psalm 147:1,General,,Adoration,,,
615,Treasures in Heaven,Pote,25,Matthew 6:19–21,General,NL124,Stewardship,,,
616,"Turn Back, O Man",Copes,28,Jeremiah 31:18–19,Epiphany,NL312,Repentance,,,
617,Twas in the Moon of Wintertime,Younger,23,Luke 2:1–20,Christmas,NL117 | NL118 | NL217 | NL218 | NL317 | NL318 | NL417 | NL418,Nativity,,,
618,Two Thousand Years,Ahler/Frank,28,Luke 2:11,Christmas,NL117 | NL217 | NL317 | NL417,History,,,
619,The Upper Room,Price/Besig,27,Matthew 26:17–30,Lent,NL137,Last Supper,,2025-03-23,
620,Visible Witness,Pfautsch,17,Acts 1:8,General,NL240,Mission,,,
621,"Waken, O Shepherds",Klein,30,Luke 2:8,Christmas,NL118 | NL218 | NL318 | NL418,Call to Worship,,,
622,"Walk On the Water, Peter",Davenport,4,Matthew 14:28–31,General,NL127,Faith,,2022-05-15,
623,Walk Through the Valley in Peace,Wagner,25,Psalm 23:4,General,,Comfort,,,
624,Walk While You Have the Light,Beebe,4,John 12:35–36,General,,Opportunity,,,
625,We Come Rejoicing,Martin/Page,23,Psalm 67; James 3:12–18,General,,Jubilation,,2021-11-21,
626,We Will Gather At The River,McDonald,.,Rev 22:1–2,General,,Eternity,,2020-02-09,
627,Take Me To the River,Shaw,30,Psalm 46:4,General,,Refreshment,,,
628,Were You There,Ringwald,22,Matthew 27:32–56,Lent,NL138,Passion,,,
629,A Wesley Hymn Concertato,Butler,24,1 John 4:19; Psalm 103,General,,Heritage,,,
630,We've Got Good News to Tell!,Besig,8,Luke 2:10,Christmas,NL117 | NL217 | NL317 | NL417,Evangelism,,,
631,What a Friend We Have in Jesus,Artman,24,John 15:13–15,General,,Friendship,,2016-01-31,
632,What a Wonderful World!,Miller,23,Genesis 1:31,General,NL401,Creation,,,
633,What Child is This,Christiansen,22,Luke 2:7–20,Christmas,NL117 | NL118 | NL217 | NL218 | NL317 | NL318 | NL417 | NL418,Incarnation,,,
634,What Shall I Give,Wagner,5,Matthew 2:11; Psalm 116,Christmas,NL120,Sacrifice,,,
635,What Will We Promise... Give?,Besig,27,Micah 6:8; Romans 12:1,General,NL110,Dedication,,,
636,When de Saints Come Marchin' In,Howorth,22,Rev 7:9–17,All Saints,,Victory,,2016-11-13,
637,When God is a Child,Wren/Carter,22,Isaiah 12:2; 35:3-4,Christmas,,Incarnation,,,
638,When I Survey the Wondrous Cross,Martin,.,Galatians 6:14,Lent,,Passion,,2018-03-04,
639,When Jesus Wept,Billings,28,John 11:35,Lent,NL431,Compassion,,2026-03-26,
640,When Morning Gilds the Skies,Marsh,24,Psalm 113:3,General,,Daily Worship,,,
641,Where in the World?,Meilstrup/Marsh,22,Psalm 139:7–12,General,,Omnipresence,,,
642,"Where Love is Found, God is There",Sherman,2,1 John 4:12,General,,Community,,,
643,Wherewith Shall I Come Before the Lord?,Bush,26,Micah 6:6–8,General,NL110,Worship,,,
644,White Wings,Quiett,23,Psalm 55:6,General,,Refuge,,,
645,Who At My Door is Standing?,Scott,6,Rev 3:20,General,,Invitation,,2022-05-01,
646,Who Comes Riding,Green/Larson,26,Zechariah 9:9,Palm Sunday,,Humble King,,,
647,Who Crucified My Lord,Belcher,29,Acts 2:23; Romans 5:8,Lent,NL144,Reflection,,,
648,Who Is That Man,Besig,26,Mark 8:27–30,Lent/Easter,NL229,Identity of Christ,,,
649,Why,Moore/Anthony,23,Matthew 27:46,Lent/Easter,NL138,Passion,,,
650,Why Was He Born in a Stable?,Posegate,28,Luke 2:7,Christmas,NL117 | NL217 | NL317 | NL417,Humility,,,
651,Will We Know Him?,Price/Besig,26,Matthew 24:36–44,Advent,,Second Coming,,,
652,With a Voice of Singing,Shaw,29,Psalm 66:1–2; Isaiah 48:20,General,,Exaltation,,,
653,"With Grateful Heart, I Thank You",Beall,3,Psalm 138:1,General,,Personal Praise,,2022-05-08,
654,With Those Hands,Schram,22,John 20:24–27,Lent/Easter,NL440,Evidence,,,
655,Within the Shadow of the Cross,Besig,3,Psalm 91:1,Lent,,Refuge,,,
656,Wonderous Love,Christiansen,28,1 John 4:10,Christmas,,Unfathomable Love,,,
657,Wondrous Love,Shaw-Parker,24,Romans 5:8,Lent/Easter,NL144,Sacrifice,,2026-05-02,
658,Worship the King,Smiley,26,Psalm 95:6,Christmas,,Adoration,,,
659,Worthy Art Thou O Lord,Willan,20,Revelation 4:11,General,,Adoration,,,
660,Worthy Is the Lamb,Beery,25,Revelation 5:12,Lent/Easter,,Sacrifice,,,
661,Would That We Were There,Wagner,22,Luke 23:33–49,Lent/Easter,NL338,Reflection,,,
662,Ye Holy Angels Bright,Clokey,29,Revelation 7:11,Christmas,,Heavenly Choir,,,
663,Ye Watchers and Ye Holy Ones,Riegger,21,Revelation 5:11,Christmas,,Heavenly Host,,,
664,Ye Watchers and Ye Holy Ones,Christiansen,30,Revelation 5:11,Christmas,,Heavenly Host,,,
665,Yet I Believe,Martin,.,Habakkuk 3:17–18,General,NL113,Perseverance,,,
666,You Are the Salt of the Earth,Marsh/Wilson,19,Matthew 5:13,General,NL123,Influence,,2026-01-24,
667,You Raise Me Up,Lovland/Graham,24,Psalm 40:1–2; Isaiah 40:31,General,NL214,Support,,,
668,Easter Chorale & Alleluia,Purifoy,22,Matthew 28:1–10,Easter,NL139,Celebration,,2017-04-16,
669,Lift Up Your Heads,Johnson,.,Psalm 24:7–10,Advent,,Victory,,,
670,The Holy City,Adams/Gray,5,Revelation 21:2,Lent/Easter,,New Jerusalem,,,
671,Make A Joyful Noise,Colvin,.,Psalm 100:1,General,,Exuberance,,,
672,"Little David, Play On Your Harp",Swift,16,1 Samuel 16:23,General,NL407,Spiritual,,,
673,With a Voice of Singing,Shaw,24,Psalm 66:1; Isaiah 48:20,General,,Jubilation,,,
674,"Ride On, Ride On In Majesty",Darst,3,Matthew 21:1–11,General,NL136,Passion,,,
675,For The Beauty of the Earth,Rutter,26,Psalm 95:1–6; James 1:17,General,,Nature,,,
676,I Lift Up Mine Eyes,Pote,25,Psalm 121:1–2,General,,Trust,,2025-01-25,
677,Glory of Christmas,Helvey,23,Luke 2:14,Christmas,NL117 | NL217 | NL317 | NL417,Glory,,,
678,Glad Noel,Wilson,11,Luke 2:10–11,Christmas,NL117 | NL217 | NL317 | NL417,Tidings,,,
679,Carol of the Bells,Leontovich,10,Luke 2:13–14,Christmas,NL117 | NL217 | NL317 | NL417,Celebration,,,
680,A New Song,Pote,24,Psalm 96:1,General,,Freshness,,,
681,Christ Is Arisen Indeed,Sleeth,26,Luke 24:34,General,NL339,Resurrection,,2016-04-17,
682,It is No Secret,Hamblen,5,Acts 10:34–35,General,NL141,Inclusion,,,
683,There Is A Balm In Gilead,Dawson,5,Jeremiah 8:22,General,,Healing,,2016-09-18,
684,My Task,Ashford,5,Matthew 28:19–20,General,NL140,Service,,,
685,I Believe,Graham/Stillman,6,Mark 9:24,General,,Faith,,,
686,How Excellent Thy Name,Bitgood,7,Psalm 8:1,General,,Glory,,,
687,Wondrous Day,Johnson,3,Psalm 118:24,General,,Joy,,,
688,Glad Sounds of Christmas,Leaf,5,Luke 2:10–14,Christmas,NL117 | NL217 | NL317 | NL417,Good Tidings,,,
689,Such A Very Bright Star,Leaf,6,Matthew 2:2,Christmas,NL120,Star,,,
690,The Lord Is My Shepherd,Klein,4,Psalm 23,General,,Guidance,,,
691,"Worship Christ, The Newborn King",Mueller,2,Luke 2:11; Matthew 2:11,Christmas,NL117 | NL120 | NL217 | NL317 | NL417,Adoration,,,
692,Invocation,Moore,5,Psalm 141:2,General,,Prayer,,,
693,Christ Went Up Into the Hills Alone,Bitgood,1,Matthew 14:23; Luke 6:12,General,NL127 | NL324,Prayer,,,
694,An Easter Fanfare,Besig,2,Matthew 28:1–6,Easter,NL139,Resurrection,,,
695,How Sweet the Sound of Christmas,Grier,2,Luke 2:13–14,Christmas,NL117 | NL217 | NL317 | NL417,Nativity,,,
696,Run To The Manger,Victor Johnson,.,Luke 2:15–16,Christmas,NL118 | NL218 | NL318 | NL418,Anticipation,,,
697,O Come Let Us Sing,Cindy Perry,.,Psalm 95:1,General,,Rejoicing,,,
698,O Clap Your Hands,Brooke,30,Psalm 47:1,General,,Enthusiasm,,,
699,"Halleluia, Hallelu",Mahler,20,Rev 19:1,Advent,,Glory,,,
700,Sing Alleluia,O'Brien,20,Rev 19:1–6,Christmas,,Praise,,,
701,"Alleluia, Amen",Scarlatti,17,Rev 19:1–6,General,,Praise,,,
702,Alleluia: Song of the Spirit,Alonso,20,John 14:16–17; Acts 2,General,NL146 | NL246 | NL346 | NL446,Holy Spirit,,2026-05-16,
703,Alleluia: All the Ages,Bonasso,20,Revelation 11:15,Easter,,Eternal Kingdom,,2022-04-24,
704,On This Day Rejoicing,"Wagner, D",27,Psalm 118:24,Easter,,Rejoicing,,2025-04-26,
706,Elements of God's Love,Fettke,26,1 John 4:7–21,General,,Divine Love,,,
707,We Sing the Almighty Power of God,Watts/Leavitt,26,Psalm 147:5; Jeremiah 32:17,General,,Creation,,,
708,Lay Down Your Troubles,Purifoy,.,Matthew 11:28,Fall 2011,,Rest,,,
709,The Deep Mercy of Jesus,Eggleston,.,Ephesians 2:4–5,Fall 2011,,Mercy,,,
710,"Lord, We Thank You",Raney,.,Psalm 100:4,Fall 2011,,Gratitude,,,
711,Every Good and Perfect Gift,Martin,.,James 1:17,Fall 2011,,Provision,,2025-02-23,
712,God Is Our Strength,Farnell,.,Psalm 46:1,Reformation,,Refuge,,2021-10-24,
713,"Keep the Watch, People of Zion",Drennan,.,Matthew 24:42–44,Advent 2011,,Vigilance,,,
715,A Caribbean Noel,Blake,.,Luke 2:10–14,Christ/Epiph,NL117 | NL217 | NL317 | NL417,Rhythmic Praise,,,
716,Glory Hallelujah to Newborn King,Kern,.,Luke 2:11,Christmas,NL117 | NL217 | NL317 | NL417,Celebration,,,
717,We Wait For Thee,Johnson,.,Psalm 130:5,Advent,,Waiting,,,
718,Lord I Give Myself to You,Johnson,25,Romans 12:1,Lent/Easter,,Dedication,,2025-02-22,
719,Hiding In the Shadow of God,Sorenson,25,Psalm 91:1,Gen/Lent,,Safety,,,
720,Hosanna! Salvation is Now,Lancz,25,Matthew 21:9,Easter,NL136,Victory,,,
721,Folk Hymn Suite,McDonald,25,Psalm 100; Psalm 23,General,,Heritage,,,
722,Gonna Sit Down and Rest Awhile,Drennan,25,Matthew 11:28,General,,Rest,,,
723,More Precious/Give Me Jesus,Hayes,25,Phil 3:8,General,,Worthiness,,,
724,Shepherd of My Soul,Dengler,25,Psalm 23:1,General,,Guidance,,,
725,Great Day,Fettke,25,Psalm 118:24,General,,Celebration,,,
726,Come Dine With Me,Schram,25,Luke 14:15–24; 1 Cor 11,Communion,,Invitation,,2017-04-02,
727,We're Gonna Worship Christ King,Choplin,25,Rev 19:16,Ascension,,Kingship,,2013-09-22,
728,Turn Around and See,Sorenson,25,Revelation 1:12,General,,Revelation,,,
729,Great Are You Lord,Boesiger,25,Psalm 145:3,Ascension,,Worthiness,,,
730,Awaken and Prepare Us,Hayes,25,Mark 13:33–37,Advent,NL235,Vigilance,,2022-12-18,
731,There's a Song in the Air,Schram,25,Luke 2:13–14,Christmas,NL117 | NL217 | NL317 | NL417,Nativity,,,
732,Come To My Heart,Fettke,25,Rev 3:20,Advent,,Invitation,,,
733,Tell the People to Sing,Dengler,25,Psalm 96:1–3,General,,Proclamation,,2017-09-24,
734,The Master Has Come,Martin,25,John 11:28,General,NL431,Restoration,,,
735,Come To the Table,Koerts,25,Matthew 26:26–29,Communion,NL137,Eucharist,,2019-10-06,
736,Let Your Light Shine,Courtney,25,Matthew 5:16,General,NL123,Influence,,2026-10-11,
737,Come People of the Risen King,Getty,25,Rev 19:6–7; Psalm 95,Easter,,Corporate Worship,,2025-04-05,
738,If Anybody Asks You,Hayes,25,Matthew 16:15; John 1:29,General,NL419,Identity of Christ,,,
739,We Believe,Besig/Price,25,1 Cor 15:3–4; Romans 10:9,General,NL245,Doctrine,,,
740,We Praise You O God,Martin,25,Psalm 145:1–2,General,,Constant Praise,,,
741,Yes I Do,Hurley,2,Mark 9:24,General,,Conviction,,,
742,When the Journey Ends,Jones/Nix,25,2 Timothy 4:7–8,General,,Perseverance,,,
743,The Battle of Jericho,Emerson,27,Joshua 6:1–27,General,,Faith,,,
744,At This Table,Murray/Pote,27,1 Cor 11:23–26,Communion,,Communion,,2014-10-05,
745,God Is Our Refuge,Pote,27,Psalm 46:1,General,,Security,,,
746,Borning Cry,Ylvisaker,27,Jeremiah 1:5; Psalm 139,General,NL112,God’s Presence,,,
747,The Gospel Song,Fettke,27,1 Cor 15:3–4,General,NL245,Good News,,,
748,They'll Know We Are Christians,Larson,27,John 13:35,General,NL432,Unity,,,
749,Grace,Mark Hayes,50,Ephesians 2:8–9,General,,Salvation,,,
750,Christmas Sanctus,Dengler,27,Isaiah 6:3; Luke 2:14,Christmas,NL117 | NL217 | NL311 | NL317 | NL417,Holiness,,,
751,Rise Up And See The King,Crouch,27,Matthew 2:1–2,Advent,NL120,Magi,,,
752,"Amen, Amen",Larson,27,Revelation 7:12,Easter,,Affirmation,,,
753,Everywhere I Go,Shackley,27,Matthew 28:20,Christmas,NL140,Presence,,,
754,World's Been Awaitin',Shackley,27,Romans 8:19–23,Advent,NL146,Redemption,,,
755,Simple Gifts,Coates,.,Matthew 18:3,General,NL130,Simplicity,,,
756,Jazz Cantate,Amy Beck,27,Psalm 98,General,,Joy,,,
757,Singing for Lord Light,Hopson,27,Psalm 27:1; Isaiah 60:1,General,,Guidance,,2022-01-23,
758,The Light of the World,Price/Besig,27,John 8:12,Epiphany,NL428,Guidance,,2025-11-16,
759,The Whisper,Craig Courtney,27,Matthew 10:29–31; Ruth 1,Communion,NL206,Providence,,2024-03-03,
760,Shout Hallelujah Risen Lamb,Johnson,27,Revelation 5:12,Easter,,Resurrection,,,
761,A Day For Hosannas,Parker/Nix,27,Matthew 21:9,Easter,NL136,Palm Sunday,,,
762,"Great Day, He's Risen",Christopher,27,Matthew 28:6,Easter,NL139,Resurrection,,2026-03-28,
763,Jesus Priceless Treasure,Frank/Nix,27,Psalm 16:11; Phil 3:8,Easter,,Sufficiency,,2016-03-20,
764,Allelulia Praise Music,Martin,27,Psalm 150,General,NL207,Celebration,,,
765,Hear My Words,Paulus,27,Psalm 54:2,General,,Petition,,,
766,Wait With Me,Johnson,27,Matthew 26:38–41,Maundy Thurs,NL137,Gethsemane,,2026-11-29,
767,Step Into the Water,Talley,25,Ezekiel 47:1–5,General,,Renewal,,2022-10-16,
768,We Three Kings,Andy Beck,9,Matthew 2:1–12,Christmas,NL120,Magi,,2023-01-08,
769,Child In A Manger,John Rutter,14,Luke 2:7,Christmas,NL117 | NL217 | NL317 | NL417,Humility,,,
770,The Light Come Down,Kirby Shaw,22,John 1:9–14,Christmas,NL416,Incarnation,,2017-01-15,
771,How Could Shepherds Know,Nix,25,Luke 2:8–15,Christmas,NL118 | NL218 | NL318 | NL418,Tidings,,2013-12-29,
772,Ain't Got Time To Die,Johnson,25,John 9:4,General,NL429,Service,,2014-10-19,
773,In Christ Alone,Getty,25,Galatians 2:20,General,NL344,Sufficiency,,,
774,Jesus Child,John Rutter,25,Luke 2:11,Christmas,NL117 | NL217 | NL317 | NL417,Birth of Jesus,,,
775,Spirit,Manley,25,Acts 2:1–4,General,NL146 | NL246 | NL346 | NL446,Holy Spirit,,,
776,Communion,Andres,25,1 Cor 11:23–26,General,,Remembrance,,,
777,There Is Grace,Metzger,25,2 Cor 12:9,General,,Sufficiency,,2025-05-17,
